cycle,timestamp,state,x,y,speed,heading,FL,FR,BL,BR,hazard_score,ttc,collision,total_collisions
35,3.5145037174224854,CRUISE,14.830000000000002,10.0,1.7500000000000007,0.0,9.654815820973136,3.2437267977441078,5.250937599424442,4.666531355142127,0.17084880150392814,1.9540522877976545,0,0
36,3.614685297012329,CRUISE,15.014000000000001,10.0,1.8400000000000007,0.0,10.0,10.0,5.5107365551552325,4.80622239304308,0.0,5.714285714285712,0,0
37,3.7150380611419678,CRUISE,15.207,10.0,1.9300000000000008,0.0,9.792625762863144,9.794136065661077,5.331354691784869,4.7065515328469125,0.0,5.3220792189473585,0,0
38,3.8156464099884033,CRUISE,15.409,10.0,2.020000000000001,0.0,10.0,10.0,5.554149756131677,5.618531039818934,0.0,5.181347150259065,0,0
39,3.916128396987915,CRUISE,15.620000000000001,10.0,2.1100000000000008,0.0,9.508558306430256,10.0,5.52359027655762,4.895823559793907,0.0,4.707207082391214,0,0
40,4.0161824226379395,CRUISE,15.840000000000002,10.0,2.2000000000000006,0.0,10.0,9.446565895365971,6.2075089440525595,5.199717307250893,0.0,4.477045448040743,0,0
41,4.116366863250732,CRUISE,16.069000000000003,10.0,2.2900000000000005,0.0,10.0,10.0,6.030402734425837,5.489727513696399,0.0,4.545454545454544,0,0
42,4.217764616012573,CRUISE,16.307000000000002,10.0,2.3800000000000003,0.0,9.3579540419556,10.0,6.512800583944977,5.233392345328652,0.0,4.086442813081047,0,0
43,4.3173933029174805,CRUISE,16.554000000000002,10.0,2.47,0.0,10.0,9.819949040196915,6.716191688172125,6.3176272036901056,0.0,4.126029008486098,0,0
44,4.417563438415527,CRUISE,16.810000000000002,10.0,2.56,0.0,9.230703402692424,9.132850128151569,7.197383268304551,6.440526242645935,0.0,3.697510173340716,0,0
45,4.51806902885437,CRUISE,17.075000000000003,10.0,2.65,0.0,9.841720251523366,10.0,7.2574714690055435,5.7702065731874495,0.0,3.8444219732513147,0,0
46,4.61824631690979,CRUISE,17.349000000000004,10.0,2.7399999999999998,0.0,9.922577960150084,9.362832250946886,6.933754514382474,3.095864380191108,0.26942374653926127,3.5331442456403344,0,0
47,4.718783140182495,CRUISE,17.632000000000005,10.0,2.8299999999999996,0.0,10.0,9.008145301276588,7.570856838481429,3.4536608337174908,0.030892777521672816,3.2876442705389013,0,0
48,4.819357872009277,CRUISE,17.924000000000007,10.0,2.9199999999999995,0.0,9.690781475127343,9.428278670037647,7.8137407776360615,3.055771379988541,0.2961524133409726,3.331547233228851,0,0
49,4.919535398483276,CRUISE,18.225000000000005,10.0,3.0099999999999993,0.0,9.862904980121074,10.0,7.587812619922303,3.7389573992206744,0.0,3.377707184972971,0,0
50,5.019649505615234,CRUISE,18.535000000000004,10.0,3.099999999999999,0.0,9.575494995121993,10.0,8.16563176141202,4.017190652527594,0.0,3.1812275731302306,0,0
51,5.1199631690979,CRUISE,18.854000000000003,10.0,3.189999999999999,0.0,10.0,9.791158025358083,8.359674092530877,4.043819041067169,0.0,3.1584380726961565,0,0
52,5.224305629730225,CRUISE,19.182000000000002,10.0,3.279999999999999,0.0,10.0,9.647436050277115,8.650832186120763,4.179700228258676,0.0,3.0242746239113223,0,0
53,5.324462175369263,CRUISE,19.5,10.0,3.3699999999999988,0.0,9.266722694167287,9.389831995629786,9.866189285239004,4.451684676033468,0.0,2.8252203335875885,0,0
54,5.425879240036011,CRUISE,19.5,10.0,3.4599999999999986,0.0,10.0,10.0,9.678567124936666,4.875557206130639,0.0,2.967359050445105,0,0
55,5.52657675743103,CRUISE,19.5,10.0,3.5,0.0,10.0,10.0,9.951982012164564,4.723862364025558,0.0,2.8901734104046253,0,0
